,names,performance,n_parameters,memory_usage_mb,max_tokens,embed_dim,license,open_weights,languages,reference,release_date
25,BAAI/bge-m3,0.59692,568000000.0,2167.0,8194.0,4096.0,mit,True,"['afr-Latn', 'amh-Ethi', 'azj-Latn', 'ast-Latn', 'azj-Latn', 'ben-Beng', 'bul-Cyrl', 'bel-Cyrl', 'cat-Latn', 'ceb-Latn', 'ckb-Arab', 'dan-Latn', 'deu-Latn', 'ell-Grek', 'eng-Latn', 'est-Latn', 'fin-Latn', 'fra-Latn', 'glg-Latn', 'guj-Gujr', 'heb-Hebr', 'hin-Deva', 'ita-Latn', 'jpn-Jpan', 'kor-Hang', 'rus-Cyrl', 'tha-Thai', 'ukr-Cyrl', 'zho-Hans']",https://huggingface.co/BAAI/bge-m3,2024-06-28
82,GritLM/GritLM-8x7B,0.5400828571428572,57920000000.0,89079.0,4096.0,4096.0,apache-2.0,True,"['eng-Latn', 'fra-Latn', 'deu-Latn', 'ita-Latn', 'spa-Latn']",https://huggingface.co/GritLM/GritLM-8x7B,2024-02-15
8,Snowflake/snowflake-arctic-embed-l-v2.0,0.53658,568000000.0,2166.0,8192.0,1024.0,apache-2.0,True,"['afr-Latn', 'ara-Arab', 'aze-Latn', 'bel-Cyrl', 'bul-Cyrl', 'ben-Beng', 'cat-Latn', 'ceb-Latn', 'ces-Latn', 'cym-Latn', 'dan-Latn', 'deu-Latn', 'ell-Grek', 'eng-Latn', 'spa-Latn', 'est-Latn', 'eus-Latn', 'fas-Arab', 'fin-Latn', 'fra-Latn', 'glg-Latn', 'guj-Gujr', 'heb-Hebr', 'hin-Deva', 'hrv-Latn', 'hat-Latn', 'hun-Latn', 'hye-Armn', 'ind-Latn', 'isl-Latn', 'ita-Latn', 'jpn-Jpan', 'jav-Latn', 'kat-Geor', 'kaz-Cyrl', 'khm-Khmr', 'kan-Knda', 'kor-Hang', 'kir-Cyrl', 'lao-Laoo', 'lit-Latn', 'lav-Latn', 'mkd-Cyrl', 'mal-Mlym', 'mon-Cyrl', 'mar-Deva', 'msa-Latn', 'mya-Mymr', 'nep-Deva', 'nld-Latn', 'pan-Guru', 'pol-Latn', 'por-Latn', 'que-Latn', 'ron-Latn', 'rus-Cyrl', 'sin-Sinh', 'slk-Latn', 'slv-Latn', 'som-Latn', 'sqi-Latn', 'srp-Cyrl', 'swe-Latn', 'swa-Latn', 'tam-Taml', 'tel-Telu', 'tha-Thai', 'tgl-Latn', 'tur-Latn', 'ukr-Cyrl', 'urd-Arab', 'vie-Latn', 'yor-Latn', 'zho-Hans']",https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0,2024-12-04
7,Snowflake/snowflake-arctic-embed-m-v2.0,0.5216025,305000000.0,1165.0,8192.0,768.0,apache-2.0,True,"['afr-Latn', 'ara-Arab', 'aze-Latn', 'bel-Cyrl', 'bul-Cyrl', 'ben-Beng', 'cat-Latn', 'ceb-Latn', 'ces-Latn', 'cym-Latn', 'dan-Latn', 'deu-Latn', 'ell-Grek', 'eng-Latn', 'spa-Latn', 'est-Latn', 'eus-Latn', 'fas-Arab', 'fin-Latn', 'fra-Latn', 'glg-Latn', 'guj-Gujr', 'heb-Hebr', 'hin-Deva', 'hrv-Latn', 'hat-Latn', 'hun-Latn', 'hye-Armn', 'ind-Latn', 'isl-Latn', 'ita-Latn', 'jpn-Jpan', 'jav-Latn', 'kat-Geor', 'kaz-Cyrl', 'khm-Khmr', 'kan-Knda', 'kor-Hang', 'kir-Cyrl', 'lao-Laoo', 'lit-Latn', 'lav-Latn', 'mkd-Cyrl', 'mal-Mlym', 'mon-Cyrl', 'mar-Deva', 'msa-Latn', 'mya-Mymr', 'nep-Deva', 'nld-Latn', 'pan-Guru', 'pol-Latn', 'por-Latn', 'que-Latn', 'ron-Latn', 'rus-Cyrl', 'sin-Sinh', 'slk-Latn', 'slv-Latn', 'som-Latn', 'sqi-Latn', 'srp-Cyrl', 'swe-Latn', 'swa-Latn', 'tam-Taml', 'tel-Telu', 'tha-Thai', 'tgl-Latn', 'tur-Latn', 'ukr-Cyrl', 'urd-Arab', 'vie-Latn', 'yor-Latn', 'zho-Hans']",https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0,2024-12-04
99,jinaai/jina-embeddings-v3,0.51315125,572000000.0,1092.0,8194.0,1024.0,cc-by-nc-4.0,True,"['afr-Latn', 'amh-Latn', 'ara-Latn', 'asm-Latn', 'aze-Latn', 'bel-Latn', 'bul-Latn', 'ben-Latn', 'ben-Beng', 'bre-Latn', 'bos-Latn', 'cat-Latn', 'ces-Latn', 'cym-Latn', 'dan-Latn', 'deu-Latn', 'ell-Latn', 'eng-Latn', 'epo-Latn', 'spa-Latn', 'est-Latn', 'eus-Latn', 'fas-Latn', 'fin-Latn', 'fra-Latn', 'fry-Latn', 'gle-Latn', 'gla-Latn', 'glg-Latn', 'guj-Latn', 'hau-Latn', 'heb-Latn', 'hin-Latn', 'hin-Deva', 'hrv-Latn', 'hun-Latn', 'hye-Latn', 'ind-Latn', 'isl-Latn', 'ita-Latn', 'jpn-Latn', 'jav-Latn', 'kat-Latn', 'kaz-Latn', 'khm-Latn', 'kan-Latn', 'kor-Latn', 'kur-Latn', 'kir-Latn', 'lat-Latn', 'lao-Latn', 'lit-Latn', 'lav-Latn', 'mlg-Latn', 'mkd-Latn', 'mal-Latn', 'mon-Latn', 'mar-Latn', 'msa-Latn', 'mya-Latn', 'nep-Latn', 'nld-Latn', 'nob-Latn', 'orm-Latn', 'ori-Latn', 'pan-Latn', 'pol-Latn', 'pus-Latn', 'por-Latn', 'ron-Latn', 'rus-Latn', 'san-Latn', 'snd-Latn', 'sin-Latn', 'slk-Latn', 'slv-Latn', 'som-Latn', 'sqi-Latn', 'srp-Latn', 'sun-Latn', 'swe-Latn', 'swa-Latn', 'tam-Latn', 'tam-Taml', 'tel-Latn', 'tel-Telu', 'tha-Latn', 'tgl-Latn', 'tur-Latn', 'uig-Latn', 'ukr-Latn', 'urd-Latn', 'urd-Arab', 'uzb-Latn', 'vie-Latn', 'xho-Latn', 'yid-Latn', 'zho-Hant', 'zho-Hans']",https://huggingface.co/jinaai/jina-embeddings-v3,2024-09-18
81,GritLM/GritLM-7B,0.49863250000000003,7240000000.0,13813.0,4096.0,4096.0,apache-2.0,True,"['eng-Latn', 'fra-Latn', 'deu-Latn', 'ita-Latn', 'spa-Latn']",https://huggingface.co/GritLM/GritLM-7B,2024-02-15
59,intfloat/multilingual-e5-large-instruct,0.48001249999999995,560000000.0,1068.0,514.0,1024.0,mit,True,"['afr-Latn', 'amh-Latn', 'ara-Latn', 'asm-Latn', 'aze-Latn', 'bel-Latn', 'bul-Latn', 'ben-Latn', 'ben-Beng', 'bre-Latn', 'bos-Latn', 'cat-Latn', 'ces-Latn', 'cym-Latn', 'dan-Latn', 'deu-Latn', 'ell-Latn', 'eng-Latn', 'epo-Latn', 'spa-Latn', 'est-Latn', 'eus-Latn', 'fas-Latn', 'fin-Latn', 'fra-Latn', 'fry-Latn', 'gle-Latn', 'gla-Latn', 'glg-Latn', 'guj-Latn', 'hau-Latn', 'heb-Latn', 'hin-Latn', 'hin-Deva', 'hrv-Latn', 'hun-Latn', 'hye-Latn', 'ind-Latn', 'isl-Latn', 'ita-Latn', 'jpn-Latn', 'jav-Latn', 'kat-Latn', 'kaz-Latn', 'khm-Latn', 'kan-Latn', 'kor-Latn', 'kur-Latn', 'kir-Latn', 'lat-Latn', 'lao-Latn', 'lit-Latn', 'lav-Latn', 'mlg-Latn', 'mkd-Latn', 'mal-Latn', 'mon-Latn', 'mar-Latn', 'msa-Latn', 'mya-Latn', 'nep-Latn', 'nld-Latn', 'nob-Latn', 'orm-Latn', 'ori-Latn', 'pan-Latn', 'pol-Latn', 'pus-Latn', 'por-Latn', 'ron-Latn', 'rus-Latn', 'san-Latn', 'snd-Latn', 'sin-Latn', 'slk-Latn', 'slv-Latn', 'som-Latn', 'sqi-Latn', 'srp-Latn', 'sun-Latn', 'swe-Latn', 'swa-Latn', 'tam-Latn', 'tam-Taml', 'tel-Latn', 'tel-Telu', 'tha-Latn', 'tgl-Latn', 'tur-Latn', 'uig-Latn', 'ukr-Latn', 'urd-Latn', 'urd-Arab', 'uzb-Latn', 'vie-Latn', 'xho-Latn', 'yid-Latn', 'zho-Hant', 'zho-Hans']",https://huggingface.co/intfloat/multilingual-e5-large-instruct,2024-02-08
60,intfloat/e5-mistral-7b-instruct,0.4778625,7111000000.0,13563.0,32768.0,4096.0,mit,True,"['eng-Latn', 'fra-Latn', 'deu-Latn', 'ita-Latn', 'spa-Latn']",https://huggingface.co/intfloat/e5-mistral-7b-instruct,2024-02-08
89,Alibaba-NLP/gte-multilingual-base,0.47498375000000004,305000000.0,582.0,8192.0,768.0,apache-2.0,True,"['afr-Latn', 'ara-Arab', 'aze-Latn', 'bel-Cyrl', 'bul-Cyrl', 'ben-Beng', 'cat-Latn', 'ceb-Latn', 'ces-Latn', 'cym-Latn', 'dan-Latn', 'deu-Latn', 'ell-Grek', 'eng-Latn', 'spa-Latn', 'est-Latn', 'eus-Latn', 'fas-Arab', 'fin-Latn', 'fra-Latn', 'glg-Latn', 'guj-Gujr', 'heb-Hebr', 'hin-Deva', 'hrv-Latn', 'hat-Latn', 'hun-Latn', 'hye-Armn', 'ind-Latn', 'isl-Latn', 'ita-Latn', 'jpn-Jpan', 'jav-Latn', 'kat-Geor', 'kaz-Cyrl', 'khm-Khmr', 'kan-Knda', 'kor-Hang', 'kir-Cyrl', 'lao-Laoo', 'lit-Latn', 'lav-Latn', 'mkd-Cyrl', 'mal-Mlym', 'mon-Cyrl', 'mar-Deva', 'msa-Latn', 'mya-Mymr', 'nep-Deva', 'nld-Latn', 'nor-Latn', 'pan-Guru', 'pol-Latn', 'por-Latn', 'que-Latn', 'ron-Latn', 'rus-Cyrl', 'sin-Sinh', 'slk-Latn', 'slv-Latn', 'swa-Latn', 'tam-Taml', 'tel-Telu', 'tha-Thai', 'tgl-Latn', 'tur-Latn', 'ukr-Cyrl', 'urd-Arab', 'vie-Latn', 'yor-Latn', 'zho-Hans']",https://huggingface.co/Alibaba-NLP/gte-multilingual-base,2024-07-20
65,intfloat/multilingual-e5-large,0.42226625,560000000.0,2136.0,514.0,1024.0,mit,True,"['afr-Latn', 'amh-Latn', 'ara-Latn', 'asm-Latn', 'aze-Latn', 'bel-Latn', 'bul-Latn', 'ben-Latn', 'ben-Beng', 'bre-Latn', 'bos-Latn', 'cat-Latn', 'ces-Latn', 'cym-Latn', 'dan-Latn', 'deu-Latn', 'ell-Latn', 'eng-Latn', 'epo-Latn', 'spa-Latn', 'est-Latn', 'eus-Latn', 'fas-Latn', 'fin-Latn', 'fra-Latn', 'fry-Latn', 'gle-Latn', 'gla-Latn', 'glg-Latn', 'guj-Latn', 'hau-Latn', 'heb-Latn', 'hin-Latn', 'hin-Deva', 'hrv-Latn', 'hun-Latn', 'hye-Latn', 'ind-Latn', 'isl-Latn', 'ita-Latn', 'jpn-Latn', 'jav-Latn', 'kat-Latn', 'kaz-Latn', 'khm-Latn', 'kan-Latn', 'kor-Latn', 'kur-Latn', 'kir-Latn', 'lat-Latn', 'lao-Latn', 'lit-Latn', 'lav-Latn', 'mlg-Latn', 'mkd-Latn', 'mal-Latn', 'mon-Latn', 'mar-Latn', 'msa-Latn', 'mya-Latn', 'nep-Latn', 'nld-Latn', 'nob-Latn', 'orm-Latn', 'ori-Latn', 'pan-Latn', 'pol-Latn', 'pus-Latn', 'por-Latn', 'ron-Latn', 'rus-Latn', 'san-Latn', 'snd-Latn', 'sin-Latn', 'slk-Latn', 'slv-Latn', 'som-Latn', 'sqi-Latn', 'srp-Latn', 'sun-Latn', 'swe-Latn', 'swa-Latn', 'tam-Latn', 'tam-Taml', 'tel-Latn', 'tel-Telu', 'tha-Latn', 'tgl-Latn', 'tur-Latn', 'uig-Latn', 'ukr-Latn', 'urd-Latn', 'urd-Arab', 'uzb-Latn', 'vie-Latn', 'xho-Latn', 'yid-Latn', 'zho-Hant', 'zho-Hans']",https://huggingface.co/intfloat/multilingual-e5-large,2024-02-08
